,Name,Party,Votes,Comparative number,Region,Selected
79,"Sarkomaa, Sari",Kok,6759,16733,Helsingin vp,Valitaan
80,"Berg, Kim",SDP,6727,16793,Vaasan vp,Valitaan
81,"Ojala-Niemelä, Johanna",SDP,6717,13467,Lapin vp,Valitaan
82,"Kalli, Eeva",Kesk,6713,20867,Satakunnan vp,Valitaan
83,"Wallinheimo, Sinuhe",Kok,6690,19686,Keski-Suomen vp,Valitaan
84,"Kari, Emma",Vihr,6681,22606,Helsingin vp,Valitaan
85,"Räsänen, Päivi",KD,6616,11743,Hämeen vp,Valitaan
86,"Kivisaari, Pasi",Kesk,6593,50063,Vaasan vp,Valitaan
87,"Kärnä, Mikko",Kesk,6481,14569,Lapin vp,Valitaan
88,"Tanus, Sari",KD,6476,17176,Pirkanmaan vp,Valitaan
89,"Kiljunen, Anneli",SDP,6415,29808,Kaakkois-Suomen vp,Valitaan
90,"Östman, Peter",KD,6365,16719,Vaasan vp,Valitaan
91,"Petelius, Pirkka-Pekka",Vihr,6303,73495,Uudenmaan vp,Valitaan
92,"Kiuru, Pauli",Kok,6286,18415,Pirkanmaan vp,Valitaan
93,"Eskelinen, Seppo",SDP,6233,19115,Savo-Karjalan vp,Valitaan
94,"Mikkonen, Krista",Vihr,6189,21315,Savo-Karjalan vp,Valitaan
95,"Hopsu, Inka",Vihr,6186,36748,Uudenmaan vp,Valitaan
96,"Blomqvist, Thomas",RKP,6141,24766,Uudenmaan vp,Valitaan
97,"Ronkainen, Jari",PS,6137,14514,Hämeen vp,Valitaan
98,"Kinnunen, Mikko",Kesk,6124,39104,Oulun vp,Valitaan
99,"Werning, Paula",SDP,6075,19872,Kaakkois-Suomen vp,Valitaan
100,"Lintilä, Mika",Kesk,6003,25032,Vaasan vp,Valitaan
101,"Kymäläinen, Suna",SDP,6001,14904,Kaakkois-Suomen vp,Valitaan
102,"Purra, Riikka",PS,5959,28926,Uudenmaan vp,Valitaan
103,"Jokinen, Kalle",Kok,5942,19744,Hämeen vp,Valitaan
