,Name,Party,Votes,Comparative number,Region,Selected
359,"Koskinen, Marko",PS,2638,5715,Savo-Karjalan vp,
360,"Strengell, Jarno",SDP,2627,5420,Kaakkois-Suomen vp,
361,"Juntunen, Riikka",PS,2625,6588,Oulun vp,
362,"Nahkuri, Miia",SDP,2586,7049,Hämeen vp,
363,"Ruoppila, Ahti",SDP,2582,7296,Keski-Suomen vp,
364,"Kallio, Nina",SDP,2568,6138,Varsinais-Suomen vp,
365,"Kaunisto, Timo",Kesk,2564,4178,Hämeen vp,
366,"Törhönen, Marko",PS,2563,5753,Pirkanmaan vp,
367,"Lehtinen, Eemeli",SDP,2555,4968,Kaakkois-Suomen vp,
368,"Grönroos, Simo",PS,2543,7231,Uudenmaan vp,
369,"Nikkanen, Saku",SDP,2533,5456,Varsinais-Suomen vp,
370,"Korhonen, Timo",Kesk,2532,5586,Oulun vp,
371,"Takatalo, Janika",Kok,2529,6553,Varsinais-Suomen vp,
372,"Kärkkäinen, Ilpo",PS,2528,5001,Savo-Karjalan vp,
373,"Tolvanen, Taru",SDP,2521,9438,Pirkanmaan vp,
374,"Paloniemi, Aila",Kesk,2516,6118,Keski-Suomen vp,
375,"Saarelainen, Ilpo",Kesk,2485,5043,Savo-Karjalan vp,
376,"Suutari, Eero",Kok,2484,7200,Oulun vp,
377,"Markkanen, Marju",SDP,2471,6168,Hämeen vp,
378,"Mustakallio, Jaakko",Vihr,2470,5305,Pirkanmaan vp,
379,"Lehtimäki, Kirsi",SDP,2464,5483,Hämeen vp,
380,"Mäki, Tommi",Kok,2462,7381,Vaasan vp,
381,"Merilehto, Antti",Kok,2460,8366,Helsingin vp,
382,"Nurmo, Mikko",PS,2460,5178,Pirkanmaan vp,
383,"Said Ahmed, Suldaan",Vas,2452,8551,Helsingin vp,
384,"Peitsaro, Panu",Kok,2450,8835,Kaakkois-Suomen vp,
385,"Smeds, Sakari",KD,2440,10882,Kaakkois-Suomen vp,
386,"Eskelinen, Mervi",PS,2431,7698,Kaakkois-Suomen vp,
387,"Juurakko, Petri",PS,2408,8565,Vaasan vp,
388,"Toivanen, Ilona",Vihr,2407,8166,Uudenmaan vp,
389,"Kaunistola, Mari",Kok,2400,5944,Satakunnan vp,
390,"Aro, Katju",FP,2399,5638,Helsingin vp,
391,"Stenvall, Nora",Muut,2392,8206,Uudenmaan vp,
392,"Huttunen, Lauri",KP,2391,3190,Pirkanmaan vp,
393,"Kuparinen, Pia",PS,2365,7257,Hämeen vp,
394,"Myllymäki, Pekka",Kesk,2355,5949,Varsinais-Suomen vp,
395,"Kajava, Henna",PS,2349,6675,Uudenmaan vp,
396,"Pajunen, Jenni",Kok,2335,7606,Helsingin vp,
397,"Ratilainen, Niina",Vihr,2318,6308,Varsinais-Suomen vp,
398,"Schauman, Ida",RKP,2308,5078,Varsinais-Suomen vp,
399,"Lundenius, Matti",PS,2306,6598,Kaakkois-Suomen vp,
400,"Keränen, Silja",Vihr,2303,5092,Oulun vp,
401,"Vasama, Jaana",SDP,2300,4910,Varsinais-Suomen vp,
402,"Hjälm, Heli",Kok,2290,6929,Savo-Karjalan vp,
403,"Ojaniemi, Kati",Kesk,2290,5563,Vaasan vp,
404,"Granlund, Saija",PS,2282,6220,Hämeen vp,
405,"Pasanen, Amanda",Vihr,2281,8220,Helsingin vp,
406,"Huhtamäki, Timo",Vihr,2279,7535,Helsingin vp,
407,"Shingler, Noora",Vihr,2277,6956,Helsingin vp,
408,"Mielonen, Joona",Vas,2271,10364,Kaakkois-Suomen vp,
409,"Kasonen, Mika",Kok,2257,8163,Uudenmaan vp,
410,"Viitala, Markus",PS,2246,6954,Keski-Suomen vp,
411,"Tapiola, Juha",Vihr,2246,5777,Hämeen vp,
412,"Somppi, Sari",RKP,2242,8804,Vaasan vp,
413,"Kärkkäinen, Matti",Kesk,2240,4584,Savo-Karjalan vp,
414,"Hirvilammi, Tuuli",Vihr,2235,7350,Uudenmaan vp,
415,"Nevanlinna, Tuomas",Vas,2220,7126,Helsingin vp,
416,"Lahtinen, Helena",Kok,2218,5905,Vaasan vp,
417,"Lumme, Riina",Vihr,2211,5047,Varsinais-Suomen vp,
418,"Suni, Veli-Pekka",Kesk,2208,6956,Satakunnan vp,
419,"Aholainen, Anne",SDP,2205,5461,Savo-Karjalan vp,
420,"Haavisto, Jussi",Kok,2199,5525,Pirkanmaan vp,
421,"Kekkonen, Jukka",SDP,2193,8670,Helsingin vp,
422,"Hakola, Juha",Kok,2174,6972,Helsingin vp,
423,"Hasu, Jenny-Katariina",Kesk,2174,5815,Kaakkois-Suomen vp,
424,"Husso, Jarmo J.",Kok,2171,5760,Oulun vp,
425,"Lastuvuori, Jenni",PS,2169,6198,Uudenmaan vp,
426,"Raassina, Sari",Kok,2157,5543,Savo-Karjalan vp,
427,"Vepsä, Sinikka",SDP,2148,7431,Helsingin vp,
428,"Aikio, Jenni",Vihr,2143,5755,Kaakkois-Suomen vp,
429,"Isomäki, Kauko",PS,2140,5563,Keski-Suomen vp,
430,"Souri, Katariina",Vihr,2135,6681,Uudenmaan vp,
431,"Sammallahti, Tere",Kok,2124,7619,Uudenmaan vp,
432,"Pajula, Matias",Kok,2122,6436,Helsingin vp,
433,"Aalto-Partanen, Annika",Vihr,2107,4604,Kaakkois-Suomen vp,
434,"Hämäläinen, Jukka",SDP,2101,5837,Keski-Suomen vp,
435,"Lumela, Meri",Vihr,2097,5887,Keski-Suomen vp,
436,"Ingo, Christoffer",RKP,2080,7546,Vaasan vp,
437,"Graeffe, Petri",Kok,2055,7143,Uudenmaan vp,
438,"Lehkonen, Helena",Kok,2054,5641,Hämeen vp,
439,"Nikkanen, Lasse",Muut,2054,5356,Varsinais-Suomen vp,
440,"Huhmarniemi, Saara",Vihr,2046,6125,Uudenmaan vp,
441,"Kauppinen, Sirpa (Siru)",Vihr,2042,5653,Uudenmaan vp,
442,"Moilanen, Riikka",Kesk,2036,5214,Oulun vp,
443,"Ylitalo, Jussi",Kesk,2033,4888,Oulun vp,
444,"Ebeling, Mika",KD,2026,7198,Helsingin vp,
445,"Järvinen, Jukka",SDP,2008,6502,Helsingin vp,
446,"Laitinen, Veli-Matti",PS,2006,5785,Uudenmaan vp,
447,"Holma, Hanna",Kesk,1998,6632,Pirkanmaan vp,
448,"Ylikännö, Martin",Kesk,1995,5217,Satakunnan vp,
449,"Majok, Ajak",Vas,1989,6108,Helsingin vp,
450,"Hussein, Husu",SDP,1989,5780,Helsingin vp,
451,"Korkeakoski, Mikko",Kok,1988,4800,Oulun vp,
452,"Kivekäs, Otso",Vihr,1983,6459,Helsingin vp,
453,"Karhuvaara, Arja",Kok,1983,5976,Helsingin vp,
454,"Borgarsdóttir Sandelin, Silja",RKP,1970,6765,Helsingin vp,
455,"Valtamäki, Erkki",PS,1961,7138,Vaasan vp,
456,"Puolimatka, Tapio",KD,1955,4385,Keski-Suomen vp,
457,"Luoma, Sanna",Kok,1952,4137,Lapin vp,
458,"Karjalainen, Anne",SDP,1944,6926,Uudenmaan vp,
459,"Jäntti, Carina",PS,1940,5774,Kaakkois-Suomen vp,
460,"Helimo, Matti",Vihr,1936,4642,Pirkanmaan vp,
461,"Sazonov, Daniel",Kok,1935,5578,Helsingin vp,
462,"Jalonen, Vesa",Kesk,1925,4173,Satakunnan vp,
463,"Leppänen, Tommi",PS,1909,8256,Varsinais-Suomen vp,
464,"Partanen, Henna",Vihr,1906,5250,Uudenmaan vp,
465,"Sydänmaa, Johanna",Vihr,1895,6028,Helsingin vp,
466,"Panttila, Eliisa",PS,1893,6118,Vaasan vp,
467,"Eskelinen-Fingerroos, Miia",Kok,1892,4619,Savo-Karjalan vp,
468,"Ruottu, Annina",Kesk,1886,4958,Varsinais-Suomen vp,
469,"Achrén, Ulla",RKP,1881,3809,Varsinais-Suomen vp,
470,"Joensuu, Antti",Kesk,1870,5006,Vaasan vp,
471,"Reunanen, Ari",SDP,1869,6291,Satakunnan vp,
472,"Ryynänen, Sami",SDP,1862,6464,Uudenmaan vp,
473,"Kumlander, Joni",SDP,1856,8258,Pirkanmaan vp,
474,"Aaltonen, Mikko",Vas,1852,8111,Pirkanmaan vp,
475,"Tapio, Noora",Vas,1850,6084,Pirkanmaan vp,
476,"Pylsy, Katariina",Kesk,1837,5305,Pirkanmaan vp,
477,"Berg, Marja",Vihr,1835,7105,Savo-Karjalan vp,
478,"Piiparinen, Auli",Kesk,1827,4202,Savo-Karjalan vp,
479,"Kock, Viktor",SDP,1819,8397,Vaasan vp,
480,"Heinonen, Marko",Kok,1818,4921,Vaasan vp,
481,"Särkijärvi, Helena",Vihr,1806,4206,Varsinais-Suomen vp,
482,"Mäenranta, Pasi",PS,1803,7534,Satakunnan vp,
483,"Nieminen, Petri",Vihr,1796,5329,Savo-Karjalan vp,
484,"Vilkuna-Räsänen, Janiika",Kok,1795,6562,Keski-Suomen vp,
485,"Liinamaa, Anne",Vihr,1790,7453,Satakunnan vp,
486,"Bergenheim, Sean",RKP,1789,7076,Uudenmaan vp,
487,"Hiltunen, Mika",PS,1789,4445,Savo-Karjalan vp,
488,"Lankia, Outi",Kesk,1788,8799,Uudenmaan vp,
489,"Mara, Outi",PS,1782,4001,Savo-Karjalan vp,
490,"Heikkinen, Jari",PS,1780,5443,Hämeen vp,
491,"Lehto, Anneli",Vas,1779,8302,Vaasan vp,
492,"Jokiranta, Harri",SDP,1772,6717,Vaasan vp,
493,"Pispala, Leni",Vihr,1770,4900,Uudenmaan vp,
494,"Peltokorpi, Terhi",Kesk,1769,5498,Helsingin vp,
495,"Lehtomäki, Pertti",Kesk,1759,5099,Keski-Suomen vp,
496,"Sepponen, Arto",Kesk,1759,5088,Kaakkois-Suomen vp,
497,"Leivonen, Sanna",PS,1756,7224,Varsinais-Suomen vp,
498,"Kuula, Heikki",Vas,1753,5344,Helsingin vp,
499,"Tenkula, Tarja",SDP,1750,5598,Vaasan vp,
500,"Huhtala, Juha",Vihr,1744,3836,Kaakkois-Suomen vp,
501,"Sassi, Jukka",PS,1743,5424,Uudenmaan vp,
502,"Ristimäki-Anttila, Jaana",PS,1737,4707,Pirkanmaan vp,
503,"Kranni, Maija",Vihr,1737,4333,Hämeen vp,
504,"Backlund, Lotta",Kok,1734,5229,Helsingin vp,
505,"Kortelainen, Miikka",Vas,1733,6741,Oulun vp,
506,"Värmälä, Johanna",SDP,1720,6060,Uudenmaan vp,
507,"Karjalainen, Jenni",SDP,1715,5202,Helsingin vp,
508,"Heikkilä, Lauri",PS,1702,6422,Varsinais-Suomen vp,
509,"Sasi, Ilkka",Kok,1697,5022,Pirkanmaan vp,
510,"Järvinen, Anni",Vas,1694,5295,Savo-Karjalan vp,
511,"Lindström, Jari",Sin,1690,3213,Kaakkois-Suomen vp,
512,"Kiesiläinen, Mikko",Vihr,1689,4593,Uudenmaan vp,
513,"El Sayed, Seija",Muut,1684,4266,Keski-Suomen vp,
514,"Orlando, Carita",Kok,1682,6723,Uudenmaan vp,
515,"Garedew, Kaisa",PS,1678,4636,Keski-Suomen vp,
516,"Aso, Janne",Kok,1677,5824,Varsinais-Suomen vp,
517,"Brandt-Ahde, Linda",Kok,1671,7363,Kaakkois-Suomen vp,
518,"Patinen, Jussi",Kok,1659,6349,Uudenmaan vp,
519,"Martikainen, Senni",Vihr,1655,4263,Savo-Karjalan vp,
520,"Kopra, Pia",PS,1649,9421,Helsingin vp,
521,"Lahtinen, Teemu",PS,1649,5105,Uudenmaan vp,
522,"Tawasoli, Eva",Vihr,1646,4323,Uudenmaan vp,
523,"Karjalainen, Tapio",Kok,1645,6015,Uudenmaan vp,
524,"Rahman, Daniel",Kok,1643,4921,Helsingin vp,
525,"Karhu, Suvi",PS,1643,4821,Uudenmaan vp,
526,"Neittaanmäki, Petri",Kesk,1643,4370,Keski-Suomen vp,
527,"Huotari, Anne",Vas,1641,5617,Oulun vp,
528,"Huhtala, Sami",PS,1639,4838,Hämeen vp,
529,"Seppänen, Esko",Vas,1630,6548,Uudenmaan vp,
530,"Hirvelä, Tarmo",PS,1628,5856,Oulun vp,
531,"Musikka, Sinikka",Kesk,1627,3879,Savo-Karjalan vp,
532,"Lintonen, Emmi",SDP,1625,4935,Hämeen vp,
533,"Lehtinen, Lasse",PS,1624,5353,Vaasan vp,
534,"Meling, Jani",Vihr,1620,4083,Uudenmaan vp,
535,"Huupponen, Erkki",SDP,1618,4586,Kaakkois-Suomen vp,
536,"Putkonen, Matti",PS,1617,4567,Uudenmaan vp,
537,"Koivisto, Mika",PS,1605,5780,Varsinais-Suomen vp,
538,"Eskelinen, Antti",PS,1604,5132,Kaakkois-Suomen vp,
539,"Saarikangas, Markku",PS,1603,4339,Uudenmaan vp,
540,"Mäkinen, Vesa",PS,1599,4354,Hämeen vp,
541,"Uljonen, Henri",PS,1595,3637,Savo-Karjalan vp,
542,"Paasikivi, Sanna",PS,1593,5254,Varsinais-Suomen vp,
543,"Mäkinen, Emmi",SDP,1581,5704,Uudenmaan vp,
544,"Weber, Konsta",Vihr,1580,3605,Varsinais-Suomen vp,
545,"Heltimoinen, Ilpo",PS,1561,4619,Kaakkois-Suomen vp,
546,"Rautavaara, Maija",Vihr,1560,3868,Uudenmaan vp,
547,"Korpinen, Laura",PS,1559,7851,Helsingin vp,
548,"Karstu, Timo",PS,1551,4199,Kaakkois-Suomen vp,
549,"Antikka, Mika",PS,1549,5270,Oulun vp,
550,"Kangastie, Jukka",PS,1547,4758,Vaasan vp,
551,"Rusanen, Juha-Pekka",Kesk,1544,3602,Savo-Karjalan vp,
552,"Juva, Kati",Vihr,1543,5652,Helsingin vp,
553,"Virtanen, Rauli",Vihr,1543,3675,Uudenmaan vp,
554,"Holmlund, Anne",Kok,1534,4458,Satakunnan vp,
555,"Helminen, Kristiina",Kesk,1533,4523,Kaakkois-Suomen vp,
556,"Rainio, Olli",Kesk,1529,5827,Lapin vp,
557,"Taipale, Ilkka",SDP,1528,4729,Helsingin vp,
558,"Saxberg, Mirita",Muut,1528,4497,Helsingin vp,
559,"Nyholm, Janne",PS,1528,3849,Kaakkois-Suomen vp,
560,"Eerola, Antero",Vas,1524,5238,Uudenmaan vp,
561,"Kärki-Chaiwut, Olli",PS,1524,4315,Pirkanmaan vp,
562,"Ruohonen, Sini",Kok,1519,5242,Varsinais-Suomen vp,
563,"Isohätälä, Jaana",Vihr,1517,4073,Oulun vp,
564,"Kelloniemi, Juhana",PS,1512,5713,Lapin vp,
565,"Salminen, Antti",PS,1508,3958,Hämeen vp,
566,"Tervo, Kati",Vas,1506,4703,Lapin vp,
567,"Lundell, Kai-Ari",PS,1505,4132,Uudenmaan vp,
568,"Peltonen, Tuula",SDP,1500,4864,Keski-Suomen vp,
569,"Vuorenpää, Harri",PS,1497,3983,Pirkanmaan vp,
570,"Kulmala, Kari",Sin,1491,4131,Savo-Karjalan vp,
571,"Tapiolinna, Maiju",PS,1488,3944,Uudenmaan vp,
572,"Ruoho, Veera",Kok,1487,5714,Uudenmaan vp,
573,"Marttila, Helena",SDP,1483,5387,Uudenmaan vp,
574,"Mattila, Marketta",Vihr,1480,3500,Uudenmaan vp,
575,"Kuosmanen, Tomi",KD,1473,2923,Keski-Suomen vp,
576,"Ojansuu-Kaunisto, Kirsi",Vihr,1470,3466,Hämeen vp,
577,"Byman, Mika",Vas,1466,5182,Kaakkois-Suomen vp,
578,"Malin, Petra",Vas,1465,4750,Helsingin vp,
579,"Rintamäki, Anne",Kesk,1464,4551,Vaasan vp,
580,"Mikkonen, Marjaana",Vas,1455,3971,Savo-Karjalan vp,
581,"Punkki, Pia",PS,1453,3334,Savo-Karjalan vp,
582,"Muurinen, Seija",Kok,1450,4648,Helsingin vp,
583,"Rautavuori, Armi",SDP,1449,4779,Savo-Karjalan vp,
584,"Fry, Janina",RKP,1445,6191,Uudenmaan vp,
585,"Niiranen, Matti",Kok,1445,4403,Helsingin vp,
586,"Loukaskorpi, Johanna",SDP,1443,7341,Pirkanmaan vp,
587,"Kalliokoski, Taneli",Kesk,1440,7039,Uudenmaan vp,
588,"Pihlajamaa, Sami",PS,1438,4791,Oulun vp,
589,"Rokkanen, Sakari",Kok,1430,5442,Uudenmaan vp,
590,"Luokkala, Pirjo",Kesk,1427,5866,Uudenmaan vp,
591,"Lunttila, Tommi",Kok,1425,4922,Keski-Suomen vp,
592,"Lappalainen, Veijo",PS,1425,3773,Uudenmaan vp,
593,"Vikeväkorva, Susa",Vihr,1417,3395,Oulun vp,
594,"Isto, Liina Veronica",PS,1414,4816,Varsinais-Suomen vp,
595,"Juntunen, Maisa",Vihr,1410,3288,Kaakkois-Suomen vp,
596,"Elovaara, Tiina",Sin,1406,3337,Pirkanmaan vp,
597,"Alhonnoro, Lotta",Vihr,1404,10517,Vaasan vp,
598,"Hägg, Arto",Kok,1390,5195,Uudenmaan vp,
599,"Keränen, Ulpu",PS,1389,4283,Vaasan vp,
600,"Ala-Nisula, Rami",Kesk,1389,4172,Vaasan vp,
601,"Viljanmaa, Toni",Kok,1379,4218,Vaasan vp,
602,"Immonen, Niina",PS,1377,6027,Satakunnan vp,
603,"Rasola, Nina",Kok,1376,6311,Kaakkois-Suomen vp,
604,"Taarna, Terho",Vihr,1376,5259,Vaasan vp,
605,"Huhtanen, Tapio",Kesk,1374,3478,Satakunnan vp,
606,"Nummensalo, Kati",KD,1372,5573,Vaasan vp,
607,"Sikkilä, Sari",PS,1371,3629,Hämeen vp,
608,"Myllyniemi, Markus",SDP,1369,5103,Uudenmaan vp,
609,"Viitanen, Timo",SDP,1366,4486,Hämeen vp,
610,"Hernberg, Kaisa",Vihr,1365,5319,Helsingin vp,
611,"Siika-aho, Auri",PS,1361,3698,Pirkanmaan vp,
612,"Kankaansyrjä, Mika",PS,1358,3893,Vaasan vp,
613,"Kauste, Mika-Antti (Mikki)",Vihr,1356,3341,Uudenmaan vp,
614,"Suonperä, Juha",Kok,1353,3937,Keski-Suomen vp,
615,"Tirkkonen, Jouni",PS,1353,3616,Uudenmaan vp,
616,"Jokipii, Mikko",Vihr,1353,3506,Vaasan vp,
617,"Suuronen, Arja",PS,1348,4392,Oulun vp,
618,"Koskinen, Satu",PS,1345,3974,Keski-Suomen vp,
619,"Kattelus, Piia",KP,1344,4312,Vaasan vp,
620,"Tuokko, Irina",Vihr,1342,4415,Keski-Suomen vp,
621,"Tirkkonen, Veijo",SDP,1338,4248,Savo-Karjalan vp,
622,"Edry, Tarja",Kesk,1333,5028,Uudenmaan vp,
623,"Hongisto, Reijo",Sin,1333,2156,Vaasan vp,
624,"Niiranen, Pekka",Kok,1326,3959,Savo-Karjalan vp,
625,"Mäkilaine, Kirsi",PS,1326,3471,Uudenmaan vp,
626,"Koskela, Jouni",KD,1324,5441,Kaakkois-Suomen vp,
627,"Wessman, Jaana",Vas,1321,4365,Uudenmaan vp,
628,"Kortelainen, Joni",SDP,1316,3823,Savo-Karjalan vp,
629,"Ala-Kokko, Laura",Vihr,1315,2629,Vaasan vp,
630,"Kiviluoma, Juha-Matti",Vas,1312,4151,Vaasan vp,
631,"Alanko, Katarina",Vihr,1309,3195,Uudenmaan vp,
632,"Tapio, Marko",Kok,1302,4765,Varsinais-Suomen vp,
633,"Kemppainen, Marja-Leena",KD,1299,5727,Oulun vp,
634,"Autio, Aku",Kok,1298,3690,Vaasan vp,
635,"Vasama, Juha",Kok,1298,3566,Satakunnan vp,
636,"Puusaari, Riina",Vihr,1297,2888,Hämeen vp,
637,"Hokkanen, Inka",SDP,1295,6629,Oulun vp,
638,"Käppi, Matleena",Vas,1294,4228,Keski-Suomen vp,
639,"Leisti, Mikko",Vihr,1287,5024,Helsingin vp,
640,"Silvennoinen, Oula",Vihr,1287,4759,Helsingin vp,
641,"Aallonharja, Piia",PS,1285,3338,Uudenmaan vp,
642,"Alho, Arja",SDP,1284,4848,Uudenmaan vp,
643,"Kemiläinen, Jarno",SDP,1284,4169,Keski-Suomen vp,
644,"Mäkeläinen, Suvi",Kesk,1283,4421,Pirkanmaan vp,
645,"Elomaa, Jari",Kok,1275,5522,Kaakkois-Suomen vp,
646,"Ikävalko, Johanna",Kesk,1274,4070,Kaakkois-Suomen vp,
647,"Isomöttönen, Katja",Kok,1271,3281,Keski-Suomen vp,
648,"Klemola, Kimmo",Vihr,1269,2877,Kaakkois-Suomen vp,
649,"Hanhilahti, Vilhartti",Kesk,1260,3790,Pirkanmaan vp,
650,"Kiiskinen, Maarit",Kesk,1254,3824,Keski-Suomen vp,
651,"Tamminen, Timo",SDP,1251,4464,Varsinais-Suomen vp,
652,"Mäki, Tapani",PS,1247,3477,Keski-Suomen vp,
653,"McCarron, Francis",Kok,1245,4936,Hämeen vp,
654,"Erkkilä, Eero",PS,1245,4054,Oulun vp,
655,"Ruotsalainen, Seppo",SDP,1245,3648,Keski-Suomen vp,
656,"Heiskanen, Miina-Anniina",SDP,1242,5303,Oulun vp,
657,"Isokangas, Tuomo",PS,1241,3452,Pirkanmaan vp,
658,"Gebhard, Elisa",SDP,1240,4335,Helsingin vp,
659,"Väyrynen, Paavo",STL,1235,2780,Uudenmaan vp,
660,"Laasonen, Jenni",Kok,1231,3464,Savo-Karjalan vp,
661,"Leino, Ida",Kok,1230,4604,Pirkanmaan vp,
662,"Markkanen, Jouni",Kok,1225,4250,Pirkanmaan vp,
663,"Pullinen, Laura",Vihr,1225,3727,Satakunnan vp,
664,"Ahola, Lotta",Kok,1225,2812,Keski-Suomen vp,
665,"Rämö, Eve",Vihr,1223,3062,Uudenmaan vp,
666,"Dannenberg, Alia",Vas,1216,3177,Savo-Karjalan vp,
667,"Tolonen, Timo",PS,1212,4285,Lapin vp,
668,"Vesterinen, Mikko",Vihr,1210,2940,Uudenmaan vp,
669,"Sarvela, Antti",Kok,1209,3079,Savo-Karjalan vp,
670,"Sheikh, Liban",Vas,1207,4867,Pirkanmaan vp,
671,"Junttila, Virpi",Vihr,1199,2558,Kaakkois-Suomen vp,
672,"Laaksonen, Lotta",Vas,1198,8837,Varsinais-Suomen vp,
673,"Salmela, Marko",SDP,1198,4419,Oulun vp,
674,"Wulff, Nicke",RKP,1196,3047,Varsinais-Suomen vp,
675,"Tiainen, Tanja",SDP,1195,3788,Oulun vp,
676,"Nahkanen, Jari",SDP,1191,3314,Oulun vp,
677,"Poutanen, Wilma",Vihr,1189,3553,Savo-Karjalan vp,
678,"Saarela, Leena",Vas,1187,4056,Pirkanmaan vp,
679,"Kulpakko, Marko",PS,1187,3569,Vaasan vp,
680,"Oksanen, Harri",PS,1172,3091,Keski-Suomen vp,
681,"Soini, Teemu",Muut,1170,3539,Savo-Karjalan vp,
682,"Saaristo, Lilla",Kok,1169,4909,Kaakkois-Suomen vp,
683,"Ranjith Kumar, Prabhakaran",SDP,1168,4112,Hämeen vp,
684,"Haavisto, Minna",Vihr,1164,2484,Satakunnan vp,
685,"Nevala, Nelli",Vihr,1164,2476,Hämeen vp,
686,"Turkka, Ville",Vihr,1163,2827,Uudenmaan vp,
687,"Pitkänen, Sanna",Kok,1162,4368,Varsinais-Suomen vp,
688,"Hyytiäinen, Minna",Vihr,1162,2722,Uudenmaan vp,
689,"Vuorjoki, Anna",Vas,1161,4275,Helsingin vp,
690,"Seila, Viivu",SDP,1157,4092,Varsinais-Suomen vp,
691,"Parkko, Tanja",Kok,1153,4032,Varsinais-Suomen vp,
692,"Koivusalo, Mari-Elina",SDP,1146,3777,Varsinais-Suomen vp,
693,"Halunen, Janne",PS,1146,3765,Oulun vp,
694,"Karjula, Johanna",Kesk,1144,3399,Keski-Suomen vp,
695,"Jussinniemi, Jouni",Vas,1143,4815,Oulun vp,
696,"Kattainen, Kari",PS,1143,3553,Kaakkois-Suomen vp,
697,"Lehtilä, Heli",Kesk,1142,3482,Hämeen vp,
698,"Sirviö, Pirjo",SDP,1136,2946,Oulun vp,
699,"Järvinen, Hannu",SDP,1133,6607,Pirkanmaan vp,
700,"Lindfors, Jaakko",Vas,1131,7070,Varsinais-Suomen vp,
701,"Niemi, Anne",Kesk,1130,3851,Vaasan vp,
702,"Brax, Tuija",Vihr,1130,2166,Hämeen vp,
703,"Korpela, Minna",Kok,1127,4969,Uudenmaan vp,
704,"Kiiskinen, Jenni",Vihr,1126,4126,Pirkanmaan vp,
705,"Pikkuaho, Sami",Kok,1126,4114,Oulun vp,
706,"Kokko, Jani",SDP,1126,3243,Keski-Suomen vp,
707,"Lehtonen, Marjut",Kesk,1125,4600,Oulun vp,
708,"Jokinen, Hanna",Vas,1124,5057,Hämeen vp,
709,"Tallgren, Mika",SDP,1124,4617,Uudenmaan vp,
710,"Määttä, Jasmin",PS,1123,5023,Satakunnan vp,
711,"Jääskeläinen, Jouko",KD,1118,4976,Uudenmaan vp,
712,"West, Linnea",SDP,1118,4798,Vaasan vp,
713,"Kärkkäinen, Eeva",Kesk,1116,3665,Helsingin vp,
714,"Tuominen, Sami",SDP,1115,2919,Keski-Suomen vp,
715,"Juntunen, Hanne-Mari",Kok,1111,3600,Oulun vp,
716,"Blomqvist-Valtonen, Elin",RKP,1107,5503,Uudenmaan vp,
717,"Joensuu, Kristiina",Kok,1107,4387,Hämeen vp,
718,"Partanen, Petri",SDP,1106,4198,Vaasan vp,
719,"Helle, Ilona",Vihr,1106,3532,Keski-Suomen vp,
720,"Stenman, Ulf",RKP,1100,6603,Vaasan vp,
721,"Liimatainen, Tiina",Vas,1098,3742,Uudenmaan vp,
722,"Rosengård, Nanna",RKP,1092,5869,Vaasan vp,
723,"Törmi, Jani",PS,1092,3514,Oulun vp,
724,"Vanhala, Mauno",Kesk,1092,3059,Keski-Suomen vp,
725,"Haapaniemi, Jarmo",SDP,1090,2651,Oulun vp,
726,"Westerholm, Micael",PS,1087,3294,Vaasan vp,
727,"Kleimola, Piia",Vas,1084,3455,Kaakkois-Suomen vp,
728,"Eckerman, Jessica ""Jessy""",Muut,1078,1078,Ahvenanmaan vp,
729,"Alenius, Sinikka",SDP,1072,5243,Satakunnan vp,
730,"Koskinen, Sari",Vihr,1070,3045,Savo-Karjalan vp,
731,"Aronen, Erkki",SDP,1069,4407,Uudenmaan vp,
732,"Asplund, Kirsi-Maarit",PS,1069,3236,Pirkanmaan vp,
733,"Haapaniemi, Timo",Kok,1068,4762,Uudenmaan vp,
734,"Olkkonen, Kirsi",Kesk,1068,3700,Kaakkois-Suomen vp,
735,"Niemi, Aapo",Vas,1068,3476,Pirkanmaan vp,
736,"Nousiainen, Mika",Muut,1067,2133,Keski-Suomen vp,
737,"Hallikainen, Jukka",Kok,1066,4418,Kaakkois-Suomen vp,
738,"Oila, Kimmo",Kok,1064,4571,Uudenmaan vp,
739,"Gallén, Tiina",Kok,1061,3200,Oulun vp,
740,"Kaistinen, Saku",PS,1059,2782,Keski-Suomen vp,
741,"Järvenpää, Esa",SDP,1057,6006,Pirkanmaan vp,
742,"Päivänen, Maria",SDP,1055,5505,Pirkanmaan vp,
743,"Willman, Veera",Vihr,1054,2664,Savo-Karjalan vp,
744,"Rautio, Pekka",Vihr,1054,2625,Uudenmaan vp,
745,"Hyytiä, Tytti",Kesk,1051,4250,Varsinais-Suomen vp,
746,"Pirttijärvi, Eero",SDP,1048,5082,Pirkanmaan vp,
747,"Hartikainen-Herranen, Kaisa",Kok,1041,2772,Savo-Karjalan vp,
748,"Tuupainen, Kauko",PS,1038,2529,Keski-Suomen vp,
749,"Auvinen, Sari",SDP,1036,4489,Lapin vp,
750,"Wesslin, Tiina",Vihr,1035,3714,Pirkanmaan vp,
751,"Ahokas, Siri",Kok,1031,4396,Uudenmaan vp,
752,"Kivinummi, Niina",SDP,1031,3732,Vaasan vp,
753,"Kantele, Kaisa",Vihr,1031,2368,Savo-Karjalan vp,
754,"Virtanen, Kalle",Kok,1028,3949,Hämeen vp,
